                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.95867,                0.78573,                 1.3418,                0.87991,                0.79268,                0.87884,                0.62952,                 1.2245,                0.91022,                 1.6775,               0.001882,               0.001882,               0.001882
                     84,                0.95967,                0.81065,                 1.3592,                0.87335,                0.80183,                0.87255,                0.64545,                 1.1196,                0.86965,                 1.5597,               0.001783,               0.001783,               0.001783
                     85,                0.93825,                0.74295,                 1.3366,                0.89047,                0.84451,                0.89482,                0.64987,                 1.1324,                0.82823,                  1.624,               0.001684,               0.001684,               0.001684
                     86,                0.94629,                0.76102,                 1.3485,                0.90147,                0.80183,                0.88554,                0.65796,                 1.1142,                0.86862,                 1.5725,               0.001585,               0.001585,               0.001585
                     87,                0.94242,                0.78456,                 1.3449,                0.78753,                0.82494,                0.84485,                0.60039,                 1.2199,                0.96884,                  1.682,               0.001486,               0.001486,               0.001486
                     88,                0.91737,                0.73274,                 1.3267,                0.82536,                0.82129,                0.86507,                0.63164,                 1.1581,                0.84653,                  1.646,               0.001387,               0.001387,               0.001387
                     89,                0.92839,                0.76944,                  1.328,                0.90333,                0.82012,                0.89061,                 0.6594,                 1.1698,                0.84366,                 1.6905,               0.001288,               0.001288,               0.001288
                     90,                0.93604,                0.75462,                 1.3301,                 0.9218,                0.80183,                0.89276,                0.66253,                 1.1143,                0.81392,                 1.5784,               0.001189,               0.001189,               0.001189
                     91,                0.88544,                0.74874,                 1.4011,                0.87715,                0.78354,                0.85222,                 0.6236,                 1.1614,                 1.0324,                 1.6608,                0.00109,                0.00109,                0.00109
                     92,                0.87438,                0.69479,                 1.3829,                0.93263,                0.84407,                0.89406,                0.67793,                 1.0788,                0.78778,                 1.5081,               0.000991,               0.000991,               0.000991
                     93,                0.83991,                0.67597,                 1.3691,                0.90378,                0.85908,                0.90482,                0.69251,                 1.0514,                    nan,                 1.5251,               0.000892,               0.000892,               0.000892
                     94,                0.82923,                0.65785,                 1.3399,                0.92024,                0.84756,                0.91168,                0.70294,                 1.0364,                0.76179,                  1.513,               0.000793,               0.000793,               0.000793
                     95,                0.83514,                0.66132,                 1.3699,                0.93145,                0.82622,                0.89913,                0.67634,                  1.085,                0.78587,                 1.5696,               0.000694,               0.000694,               0.000694
                     96,                0.81062,                0.63041,                 1.3312,                0.90242,                0.46341,                0.54682,                 0.3756,                  1.809,                 1.5033,                 2.8281,               0.000595,               0.000595,               0.000595
                     97,                0.80496,                0.62078,                 1.3337,                0.93936,                0.85671,                0.91879,                0.70805,                  1.019,                0.72223,                 1.5027,               0.000496,               0.000496,               0.000496
                     98,                  0.786,                0.60277,                 1.3156,                0.94244,                0.86585,                0.91969,                 0.7145,                 1.0099,                0.72736,                 1.5017,               0.000397,               0.000397,               0.000397
                     99,                0.79432,                0.62767,                  1.323,                0.92821,                0.85976,                 0.9215,                0.70735,                 1.0221,                0.72558,                 1.4972,               0.000298,               0.000298,               0.000298
                    100,                0.77768,                0.60234,                 1.3102,                0.95609,                0.86289,                0.92477,                0.71911,                0.98459,                 0.6987,                  1.468,               0.000199,               0.000199,               0.000199
